type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	37.460356071	-79.590845875	779.2			
T	37.506017859	-79.580591566	787.6			
T	37.553516088	-79.570245031	659.7			
T	37.600656641	-79.561480033	230.9			
T	37.644757470	-79.553449591	412.3			
T	37.806774454	-79.536122069	486.1			
T	37.821810473	-79.536013195	658.9			
T	37.849769755	-79.539925343	537.5			
T	37.839621554	-79.545196366	600.1			
T	37.826991641	-79.550071096	957.5			
T	37.660524818	-79.572687612	425.1			
T	37.611280705	-79.577598493	381.4			
T	37.373674659	-79.599372831	299.3			
T	37.331664864	-79.603297413	276.1			
T	37.291079601	-79.605407391	282.6			
T	37.255383094	-79.608290072	278.2			
T	37.156664199	-79.613195540	275.7			
T	37.146665859	-79.613050261	288.8			
T	37.155022418	-79.584159602	281.6			
T	37.168450044	-79.575807071	278.5			
T	37.306135891	-79.510051817	278.0			
T	37.347357291	-79.497169970	288.1			
T	37.389637669	-79.485859052	284.4			
T	37.731021403	-79.454340486	357.6			
T	37.824725121	-79.474407207	419.5			
T	37.819598544	-79.478197481	398.5			
T	37.486853300	-79.543287483	886.1			
T	37.442397499	-79.548366929	459.7			
T	37.401109366	-79.553646672	276.8			
T	37.360568604	-79.556752945	267.7			
T	37.320861191	-79.559705076	319.2			
T	37.194010842	-79.569518989	219.3			
T	37.176903297	-79.570095242	263.9			
T	37.165088495	-79.569798918	255.9			
T	37.144967468	-79.560819443	263.4			
T	37.148271602	-79.554231904	242.0			
T	37.255147751	-79.491159070	251.9			
T	37.289519116	-79.475581246	238.0			
T	37.510639703	-79.422125723	290.5			
T	37.557233448	-79.416897061	344.2			
T	37.609831586	-79.412785899	224.3			
T	37.809865746	-79.413027930	323.4			
T	37.839994118	-79.416157038	316.5			
T	37.927003669	-79.438759672	454.9			
T	37.918990139	-79.442440000	614.8			
T	37.908598778	-79.448132352	525.2			
T	37.888663393	-79.455073087	446.4			
T	37.860598950	-79.463126308	438.2			
T	37.827412911	-79.468101883	434.1			
