type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	36.125687104	-79.061129176	180.8			
T	36.137699326	-79.242671850	208.3			
T	36.379425773	-79.920956898	197.6			
T	36.169858208	-79.595113319	198.0			
T	36.145761753	-79.539491083	200.0			
T	36.000224347	-79.165176641	218.5			
T	36.264345123	-79.847912206	260.6			
T	36.293796545	-80.106505385	208.2			
T	35.996596926	-79.393158228	172.7			
T	36.019543796	-79.546619116	202.0			
T	36.417322431	-80.376701047	357.6			
T	36.293197360	-80.258852345	233.4			
T	35.875950043	-79.557251030	227.0			
T	35.953913756	-80.158937813	235.8			
T	36.373207470	-80.910782565	377.8			
T	36.293056196	-80.328574444	338.6			
T	35.977068663	-79.855773513	236.1			
T	36.197363596	-80.694053623	302.8			
T	36.471387195	-81.339575159	811.9			
T	36.301583270	-80.596512948	312.5			
T	35.901613562	-79.961169156	243.0			
T	36.156719271	-80.686017623	295.0			
T	36.484707230	-81.293456389	888.9			
T	36.263914523	-80.263875048	217.9			
T	35.774436034	-79.384490389	184.0			
T	35.984479441	-79.972022362	267.4			
T	36.297210294	-80.464507736	298.3			
T	36.030930503	-79.763319246	246.7			
T	35.760272592	-79.253426847	148.6			
T	36.062035468	-79.831779275	261.0			
T	36.085565976	-79.875190369	281.8			
T	36.226802498	-80.026485115	223.0			
T	36.038999723	-79.325798887	188.3			
T	35.984966810	-79.513185754	188.7			
T	36.214450998	-80.175899540	250.5			
T	36.218527953	-80.197880979	265.4			
T	36.129327207	-79.822982064	262.9			
T	35.920547576	-79.116216989	138.6			
T	36.058532264	-79.505201247	193.1			
T	36.230961335	-79.781331881	229.3			
T	36.097841900	-79.227389571	201.5			
T	36.113617711	-79.108457073	188.9			
T	36.247721281	-79.648344832	237.4			
T	36.117862796	-79.446275586	200.7			
T	36.023503487	-78.976574273	153.4			
T	36.336469941	-79.392436387	227.2			
T	36.435966699	-79.631206791	233.5			
T	36.070256806	-79.018803728	145.6			
T	36.137805498	-78.898981551	119.5			
T	36.388037395	-79.378449606	162.1			
T	36.153778211	-79.246290281	179.6			
T	36.054686757	-78.911117364	118.0			
T	36.409960550	-79.258455316	159.6			
T	36.422973417	-79.391186897	167.7			
T	36.089990701	-79.013072256	183.2			
T	36.315299911	-79.052268372	202.4			
T	36.710934433	-79.800305223	278.9			
T	36.431565898	-79.626657031	221.8			
T	36.077941753	-79.102257937	171.9			
T	36.323415643	-79.637284672	236.2			
T	36.475789596	-79.972515224	254.1			
T	36.141854057	-79.399472082	186.9			
T	36.436206370	-79.368750475	167.6			
T	37.013512200	-80.175065994	787.9			
T	36.349245452	-79.993497562	227.5			
T	36.214893364	-79.505800497	221.2			
T	36.764015632	-79.667116335	246.7			
T	36.520432309	-79.994007463	220.0			
T	36.097508290	-79.808562696	252.2			
T	36.817871768	-79.541191894	242.0			
T	36.916783661	-80.112441716	377.1			
T	36.165217682	-80.366741907	266.7			
T	36.654166026	-79.917282146	306.2			
T	37.214465228	-79.970556025	429.3			
T	36.413103108	-80.420614669	372.5			
T	36.593000199	-80.196157358	316.0			
T	37.690483991	-80.138809761	806.6			
T	36.656162278	-80.715803374	900.3			
T	36.378376866	-80.716748350	359.1			
T	37.463332600	-80.518461228	993.6			
T	37.185189356	-80.723148969	663.0			
T	36.519459063	-80.703751971	336.5			
T	37.445245516	-80.510545184	821.3			
T	37.377355324	-80.717148173	870.0			
T	36.669568524	-80.750669365	955.6			
T	37.434672366	-80.581792108	947.6			
T	37.465796403	-80.691237535	601.9			
T	36.809787198	-80.754683562	701.0			
T	37.454234618	-80.741392530	666.4			
T	37.724903523	-80.828348564	852.5			
T	36.756120863	-80.923201325	783.1			
T	37.029775655	-80.802830540	721.2			
T	37.835037718	-80.909559552	696.0			
T	36.735530319	-81.332711836	1094.7			
T	36.442737752	-81.520267709	867.5			
T	37.404276420	-81.501954491	602.5			
T	37.445821305	-81.503639434	642.3			
T	37.154286918	-81.535044828	780.4			
T	36.302306677	-81.440525967	931.6			
T	36.962517016	-81.423119609	822.2			
T	37.699826997	-81.720092758	713.7			
T	36.492443639	-81.523048923	1013.9			
T	36.413422554	-81.416804967	815.7			
T	37.771565286	-81.875312431	601.7			
T	37.146950688	-81.983915853	637.9			
T	36.305225149	-81.734096764	1131.2			
T	37.244035359	-81.721249440	810.5			
T	37.571258507	-82.035330685	385.8			
T	36.449219391	-81.864846301	817.9			
T	36.422706590	-81.854791467	876.4			
T	36.867668452	-81.822209860	565.9			
T	37.718191683	-82.155744606	451.9			
T	36.639495599	-82.080555867	625.2			
T	36.719602709	-81.745717382	611.4			
T	37.604812106	-81.609440704	393.1			
T	37.005559037	-81.826561133	693.8			
