type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	37.269605813	-80.398910466	651.4						
T	37.183761009	-80.457157402	684.9						
T	37.095504458	-80.508355461	633.7						
T	37.063973138	-80.523660378	577.8						
T	37.027619724	-80.539718706	621.4						
T	37.018757673	-80.541042641	626.6						
T	37.020886623	-80.532948703	564.3						
T	37.037471895	-80.516291349	611.1						
T	37.076616183	-80.480512522	617.7						
T	37.102572299	-80.457441406	646.4						
T	37.168370863	-80.405519255	606.1						
T	37.201627704	-80.380783261	691.6						
T	37.208683120	-80.377460315	562.9						
T	37.132222063	-80.443225284	626.2						
T	37.076628505	-80.482888729	627.3						
T	37.030681267	-80.513048340	607.7						
T	37.018513954	-80.519222039	629.4						
T	37.011938277	-80.522865411	615.6						
T	37.031742138	-80.508381568	628.0						
T	37.074224126	-80.475893697	651.0						
T	37.102555642	-80.455031168	644.1						
T	37.199129663	-80.388659335	608.2						
T	37.226579250	-80.375578319	545.8						
T	37.216740786	-80.388201891	664.7						
T	37.146287586	-80.453319509	584.2						
T	37.025392781	-80.539762641	606.5						
T	36.961126918	-80.574326286	742.8						
T	36.953185447	-80.574321253	806.5						
T	36.969418856	-80.559857348	939.8						
T	37.084824806	-80.474109294	640.5						
T	37.157813029	-80.411486543	633.4						
T	37.230786431	-80.350698030	542.9						
T	37.252928267	-80.332226901	566.9						
T	37.120974703	-80.446481234	670.4						
T	37.028397571	-80.509664401	642.4						
T	36.989189494	-80.531452362	594.8						
T	36.944755666	-80.550166755	759.3						
T	36.935690712	-80.550296357	768.9						
T	36.979259903	-80.508157386	658.2						
T	37.050803561	-80.451455920	650.4						
T	37.127120046	-80.387326794	646.3						
T	37.155434491	-80.361941231	576.1						
T	37.190287800	-80.333678326	450.9						
T	37.200887628	-80.327223579	592.9						
T	37.150111372	-80.374985384	612.6						
T	37.054286811	-80.450031173	618.9						
T	37.024609622	-80.471786397	710.5						
T	37.007313208	-80.481928849	703.3						
T	36.989995367	-80.490784448	647.7						
T	37.058876909	-80.434406308	632.2						
T	37.148872133	-80.367682461	623.6						
T	37.224337512	-80.313963936	633.9						
T	37.238478270	-80.308080016	509.4						
T	37.234791417	-80.320409860	656.1						
T	37.160375723	-80.413753351	630.0						
T	37.090937559	-80.480944597	622.0						
T	37.066162240	-80.502333485	620.1						
T	37.099323678	-80.476893229	611.0						
T	37.144924194	-80.441062215	591.5						
T	37.216933905	-80.379160711	549.0						
T	37.250687562	-80.352070451	464.6						
T	37.280208457	-80.323484602	662.3						
T	37.309465960	-80.298177572	680.2						
T	37.342039461	-80.268851599	816.9						
T	37.348380761	-80.263738239	613.2						
T	37.331033791	-80.277380715	855.0						
T	37.246495088	-80.352548895	467.6						
T	37.160397529	-80.412502754	620.8						
T	37.122158431	-80.437863163	673.3						
T	37.092917523	-80.453275026	649.2						
T	37.070434463	-80.461912814	626.1						
T	37.046256331	-80.468128969	625.1						
T	37.038064284	-80.462842587	637.8						
T	37.037959056	-80.457048733	645.2						
T	37.062264915	-80.411739023	601.5						
T	37.114949240	-80.347229569	612.5						
T	37.168317545	-80.290296046	520.0						
T	37.188627264	-80.268038983	532.1						
T	37.218344813	-80.239950242	473.1						
T	37.233087684	-80.234555837	374.1						
T	37.229028692	-80.245631218	439.0						
T	37.196824775	-80.295939776	420.1						
T	37.171225447	-80.326192141	576.1						
T	37.088416759	-80.414050831	590.4						
T	37.014994576	-80.482654913	716.1						
T	36.984626519	-80.510192055	686.9						
T	36.952805651	-80.537918398	741.3						
T	36.946808366	-80.544640813	758.9						
T	36.972182561	-80.535272644	820.1						
T	37.022826874	-80.509873582	621.6						
T	37.055577701	-80.489857623	602.2						
T	37.146141602	-80.432323397	622.1						
T	37.222411365	-80.379886520	596.1						
T	37.250168257	-80.361356212	502.2						
T	37.281955796	-80.341850948	619.9						
T	37.287812320	-80.339819888	661.4						
T	37.238738834	-80.386052466	674.4						
T	37.152668628	-80.445451512	578.9						
T	37.068438859	-80.495144188	619.3						
T	37.016286551	-80.518146828	638.0						
T	36.994442084	-80.518866067	603.6						
T	37.058906222	-80.448522600	631.3						
T	37.132095043	-80.384358958	666.2						
T	37.160696184	-80.360067228	633.0						
T	37.197091221	-80.328961905	502.3						
T	37.209934529	-80.320967687	619.1						
T	37.214258680	-80.323123857	589.9						
T	37.215322226	-80.329247708	574.4						
T	37.201922745	-80.383269093	717.3						
T	37.166841724	-80.466964631	604.4						
T	37.150275679	-80.507566419	608.2						
T	37.133954937	-80.544989140	552.3						
T	37.120534116	-80.581761529	585.3						
T	37.098246663	-80.641820567	619.4						
T	37.087126032	-80.680822289	650.1						
T	37.084781056	-80.692621123	633.5						
T	37.084811794	-80.702178678	653.1						
T	37.089462541	-80.685750217	663.9						
T	37.095756306	-80.657340319	607.2						
T	37.100829203	-80.621439988	592.0						
T	37.104707333	-80.586518716	533.0						
T	37.102881043	-80.520143574	631.3						
T	37.095305021	-80.460321969	646.6						
T	37.089474330	-80.436729425	630.5						
T	37.084801210	-80.420357654	589.8						
T	37.078940624	-80.408953387	619.4						
T	37.068139954	-80.398165724	597.7						
T	37.058681612	-80.402674208	640.5						
T	37.036569706	-80.444398559	685.0						
T	37.027913472	-80.475056694	695.5						
T	37.023909242	-80.507529134	633.4						
T	37.020956039	-80.539850200	627.9						
T	37.019288694	-80.601950900	653.3						
T	37.025311385	-80.657441725	599.5						
T	37.033047549	-80.691429359	640.1						
T	37.043383510	-80.709659820	568.0						
T	37.046856923	-80.693583427	606.5						
T	37.050144453	-80.642292236	567.4						
T	37.051189455	-80.610705533	578.2						
T	37.049160777	-80.548652705	588.9						
T	37.041842008	-80.496349215	632.3						
T	37.033463886	-80.464308448	659.1						
T	37.030996526	-80.455230280	672.8						
T	37.024329196	-80.446470870	720.1						
T	37.023435193	-80.463797611	741.3						
T	37.024797850	-80.489057122	691.9						
T	37.028736284	-80.548946132	561.6						
T	37.032509153	-80.604489429	621.6						
T	37.039908282	-80.655843311	581.2						
T	37.042029714	-80.676905722	641.1						
T	37.047930810	-80.704175877	562.4						
T	37.055902413	-80.715352216	589.4						
T	37.061577111	-80.685169717	604.8						
T	37.062857762	-80.620399790	584.6						
T	37.057125047	-80.546189155	552.7						
T	37.051077439	-80.508810831	624.2						
T	37.041194278	-80.439380329	673.2						
T	37.036745190	-80.383970166	703.9						
T	37.031796876	-80.348690250	743.1						
T	37.029420619	-80.337464717	808.0						
T	37.026331877	-80.333224283	760.3						
T	37.023117671	-80.369386329	746.1						
T	37.021973738	-80.434001785	735.0						
T	37.024584346	-80.469484254	746.0						
T	37.028758736	-80.542008070	605.0						
T	37.034894582	-80.613815074	652.7						
T	37.042232591	-80.695581240	565.3						
T	37.049104902	-80.730013029	579.6						
T	37.055907392	-80.745898048	607.8						
T	37.058189455	-80.720244118	606.8						
T	37.056978704	-80.651966290	620.0						
T	37.052372573	-80.613076747	562.1						
T	37.041066622	-80.535960582	605.3						
T	37.023371663	-80.458047378	722.1						
T	37.010317759	-80.394882253	651.4						
T	37.003484865	-80.368319828	706.9						
T	36.992623164	-80.334581641	750.9						
T	36.980873826	-80.318298032	684.7						
T	36.973776057	-80.333887899	692.8						
T	36.967515005	-80.355987395	652.9						
T	36.956044525	-80.419508232	734.7						
T	36.946674370	-80.486394042	764.4						
T	36.935208983	-80.586305817	812.1						
T	36.931431004	-80.633073568	988.5						
T	36.930774800	-80.651487437	873.6						
T	36.930882830	-80.677597360	1003.1						
T	36.935514498	-80.688883679	940.4						
T	36.961122871	-80.650840212	856.1						
T	36.969623435	-80.624452711	877.1						
T	36.978593407	-80.596751682	832.4						
T	36.985816975	-80.567594215	720.4						
T	36.994631846	-80.535843086	579.6						
T	37.010276975	-80.448638784	669.8						
T	37.016844624	-80.403382125	662.6						
T	37.021291686	-80.378751094	716.8						
T	37.020969128	-80.370785060	777.2						
T	37.020195158	-80.381177227	718.2						
T	37.019078298	-80.402002856	681.5						
T	37.011640104	-80.470252832	655.7						
T	37.007770014	-80.538968659	572.6						
T	37.008208307	-80.607465477	677.5						
T	37.012036319	-80.668223744	624.4						
T	37.020965467	-80.714774872	639.3						
T	37.025053199	-80.730069789	642.7						
T	37.030778378	-80.747818152	730.1						
T	37.036044524	-80.750797696	669.6						
T	37.040905424	-80.742040941	596.3						
T	37.058159974	-80.667311125	562.1						
T	37.060584044	-80.560269944	581.9						
T	37.056741602	-80.490975662	623.2						
T	37.047257924	-80.438863277	633.2						
T	37.042318403	-80.421817259	675.3						
T	37.036455452	-80.407270640	703.5						
T	37.032284408	-80.397206049	647.7						
T	37.024566314	-80.392224981	659.8						
T	37.013538898	-80.401425129	655.3						
T	36.996002180	-80.445185778	701.5						
T	36.981405327	-80.509193996	660.5						
T	36.973908459	-80.578803814	819.4						
T	36.971447751	-80.644634322	790.9						
T	36.972432243	-80.673802673	747.8						
T	36.977566498	-80.722313108	621.8						
T	36.990221067	-80.764125617	656.7						
T	36.994261260	-80.769078940	695.0						
T	37.003061727	-80.766732944	650.7						
T	37.028701130	-80.709637968	639.7						
T	37.039954025	-80.647702808	588.6						
T	37.043056045	-80.614019301	624.1						
T	37.046896847	-80.554528026	553.6						
T	37.044161292	-80.505574187	622.2						
T	37.040632535	-80.481275328	683.3						
T	37.035896738	-80.471100521	696.9						
T	37.031328255	-80.473696228	708.8						
T	37.016017738	-80.503255561	653.0						
T	37.001403754	-80.558447362	700.1						
T	36.994088041	-80.611661729	884.5						
T	36.996241686	-80.659344524	680.1						
T	37.003468005	-80.698502726	587.5						
T	37.015353767	-80.723468244	613.1						
T	37.028201561	-80.731491435	646.9						
T	37.046819301	-80.719285717	562.2						
T	37.059314081	-80.700327605	600.8						
T	37.072015634	-80.675173031	615.8						
T	37.083902638	-80.644843806	610.2						
T	37.104671501	-80.581685587	559.8						
T	37.116253760	-80.522176215	611.4						
T	37.117450037	-80.481999246	678.9						
T	37.104963084	-80.450039867	651.8						
T	37.088192978	-80.451198501	640.2						
T	37.048614827	-80.480843636	609.9						
T	37.016461632	-80.531906696	569.6						
T	36.994943392	-80.578882581	700.0						
T	36.985229124	-80.618189372	908.4						
T	36.990261886	-80.652214099	826.5						
T	36.998608271	-80.659484236	663.1						
T	37.028286232	-80.641388495	575.3						
T	37.045445933	-80.619916900	564.7						
T	37.076754519	-80.563717190	548.1						
T	37.101540039	-80.500899719	625.8						
T	37.111371839	-80.470180972	654.3						
T	37.118464250	-80.443011013	673.0						
T	37.124532942	-80.419371330	655.8						
T	37.127054356	-80.402023898	654.2						
T	37.127099041	-80.389778887	655.0						
T	37.119846560	-80.377089673	658.2						
T	37.108909241	-80.380698487	700.0						
T	37.063502728	-80.421054475	608.9						
T	37.038991223	-80.450011411	649.8						
T	36.998986237	-80.533472125	616.7						
T	36.991409096	-80.556280420	607.6						
T	36.988585010	-80.591266956	690.1						
T	36.993895698	-80.619562224	797.3						
T	37.007685513	-80.632529612	675.0						
T	37.026957528	-80.633242891	632.3						
T	37.064035329	-80.608631283	562.1						
T	37.102972215	-80.559955933	611.2						
T	37.137518705	-80.498188618	614.9						
T	37.167033447	-80.406896810	591.4						
T	37.168745184	-80.361595390	565.2						
T	37.159583742	-80.333988448	613.7						
T	37.140983679	-80.322972525	656.9						
T	37.110441045	-80.335605557	592.5						
T	37.088183231	-80.353042599	610.3						
T	37.050475117	-80.396481157	779.2						
T	37.039827410	-80.416249934	778.7						
T	37.026760111	-80.469355053	740.3						
T	37.031682038	-80.496807432	661.0						
T	37.045375096	-80.513693919	620.8						
T	37.072043203	-80.517504967	624.3						
T	37.126413210	-80.501088305	558.9						
T	37.188882010	-80.460644772	729.8						
T	37.243964423	-80.407741631	670.2						
T	37.282981072	-80.360416182	637.4						
T	37.294993901	-80.340323558	601.8						
T	37.300945453	-80.314084739	674.2						
T	37.265624023	-80.297664779	606.5						
T	37.164780198	-80.332052456	560.2						
T	37.085916774	-80.370051357	603.6						
T	37.023455366	-80.402718135	668.5						
T	36.998532317	-80.419963964	680.6						
T	36.997274680	-80.429181564	674.8						
T	37.096842667	-80.395235335	625.1						
T	37.155383185	-80.368171975	544.5						
T	37.196838656	-80.351941784	457.0						
T	37.212460575	-80.346316648	488.8						
T	37.130825117	-80.395529999	644.6						
T	37.107536056	-80.406286071	693.0						
T	37.080065093	-80.418387300	641.9						
T	37.056490385	-80.426380971	649.5						
T	37.028501376	-80.430014042	779.0						
T	37.028709954	-80.421881475	687.2						
T	37.079982378	-80.373123580	682.3						
T	37.144839502	-80.328610709	641.9						
T	37.213546427	-80.283083459	408.3						
T	37.251701889	-80.258717860	387.0						
T	37.261592703	-80.254471763	412.1						
T	37.217814365	-80.293987780	497.7						
