type	latitude	longitude	altitude (ft)	name	desc	kml_folder
T	37.460359538	-80.264567249	2441.1			
T	37.241040043	-80.428772463	2119.2			
T	37.236327147	-80.385992413	2253.2			
T	37.421704522	-80.099072514	1896.3			
T	37.562851460	-79.970518047	1540.2			
T	37.621268120	-79.952096544	1154.8			
T	37.562747868	-80.087046438	1786.7			
T	37.548118585	-80.111541358	1623.0			
T	37.533495083	-80.136032820	1960.1			
T	37.514008395	-80.160504742	1535.1			
T	37.489672320	-80.178832817	2042.6			
T	37.465324496	-80.203279047	2482.5			
T	37.250937556	-80.379954906	1978.3			
T	37.255989696	-80.318879743	2030.8			
T	37.460585429	-80.105243739	1328.1			
T	37.592005645	-80.044158515	1972.9			
T	37.567595844	-80.099319453	2397.5			
T	37.552974953	-80.117682984	1704.2			
T	37.538358962	-80.136044288	1772.4			
T	37.333831559	-80.306953987	1974.4			
T	37.299723974	-80.331291702	2109.9			
T	37.275350821	-80.349518339	1865.3			
T	37.265604848	-80.355584992	2039.4			
T	37.290226594	-80.239554912	1443.0			
T	37.304876880	-80.209024847	1656.3			
T	37.509306853	-79.933734699	1213.3			
T	37.572551253	-79.884605999	1611.6			
T	37.582310769	-79.921418707	1874.5			
T	37.548224042	-80.019578305	1230.9			
T	37.397168964	-80.252078911	2012.4			
T	37.260493028	-80.428877663	2063.8			
T	37.240971191	-80.447095709	2007.1			
T	37.226309457	-80.465333395	1995.6			
T	37.201967603	-80.471295409	2039.9			
T	37.299965515	-80.233463901	1716.0			
T	37.470388938	-79.988891104	1417.9			
T	37.504446236	-79.952126677	1357.7			
T	37.538498223	-79.915318779	1319.3			
T	37.655236964	-79.823046202	1165.2			
T	37.679584126	-79.835284840	1074.0			
T	37.577339098	-80.093207552	2324.2			
T	37.299444353	-80.416875428	2638.6			
T	37.275060510	-80.435072953	2255.7			
T	37.192359733	-80.440717405	2189.5			
T	37.392570702	-80.068455224	1739.7			
T	37.606597142	-79.847717889	1251.1			
T	37.572579257	-79.933699513	1854.7			
T	37.416793519	-80.141912225	1586.1			
T	37.265604848	-80.355584992	2039.4			
T	37.246053477	-80.386040036	1950.8			
T	37.163008663	-80.483267701	1802.9			
T	37.187886576	-80.324672931	1655.9			
T	37.412043595	-79.982769742	1281.6			
T	37.460662404	-79.958261331	1404.0			
T	37.353509982	-80.202997794	2258.4			
T	37.177522436	-80.501665062	2012.4			
T	37.089324159	-80.629247801	1981.7			
T	37.099409291	-80.562192257	1974.9			
T	37.285504754	-80.160097087	1557.2			
T	37.339086404	-80.080663891	2354.7			
T	37.285435318	-80.202877973	2172.1			
T	37.275648704	-80.233413613	1608.9			
T	37.261006827	-80.257813158	1294.3			
T	37.251206760	-80.288318176	1385.0			
T	37.241399465	-80.318813544	2140.4			
T	37.172810223	-80.465019703	1995.0			
T	37.236600626	-80.294364890	1457.5			
T	37.450930209	-79.988884461	1721.9			
T	37.543373875	-79.933715611	1420.1			
T	37.533633227	-80.007305290	1526.1			
T	37.519015266	-80.031811193	1542.5			
T	37.372819798	-80.270367258	1698.8			
T	37.343541837	-80.313117070	1750.0			
T	37.314239156	-80.355814801	2392.4			
T	37.284940073	-80.392347080	2220.9			
T	37.153094475	-80.525931085	1780.1			
T	37.236615713	-80.288258165	1428.7			
T	37.450936205	-79.958264479	1455.1			
T	37.591976089	-79.835469114	1218.6			
T	37.543373875	-79.933715611	1420.1			
T	37.523913775	-79.964384954	1664.9			
T	37.246228636	-80.331049919	2236.8			
T	37.216915304	-80.373679049	1645.9			
T	37.192471046	-80.410196322	2165.5			
T	37.168041082	-80.440582345	2072.6			
T	37.148491116	-80.464877042	1997.7			
T	37.128935880	-80.489159677	1843.5			
T	37.075150493	-80.549805097	1875.4			
T	37.104842165	-80.434095630	2140.9			
T	37.241719431	-80.166112036	1249.5			
T	37.402321979	-79.964410795	1162.4			
T	37.265989994	-80.196733810	1759.3			
T	37.045878837	-80.567873575	1915.1			
T	37.075434827	-80.488813021	2095.6			
T	37.090154870	-80.458406587	2127.7			
T	37.114660817	-80.409747972	2239.0			
T	37.139145343	-80.361060721	2154.5			
